0	"Perfect"	Open Input/other anomaly	RS Anomaly	Ic Anomaly	Could not screen. Needs re-mount / re-screen	PCB	LOC	Note	More notes	
w37_r15_c06	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r15_c07	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r15_c08			2			20190913_B	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	non-sinusoidal v-phi		
w37_r16_c01	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r16_c02	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r16_c03	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r16_c04			10			20190912_A	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	RS10 - slightly supressed modulation		
w37_r16_c05			7			20190912_A	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	RS07 - non-sinusoidal v-phi		
w37_r16_c06	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r16_c07	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r16_c08	x					20190913_B	B08 gel-pak "BICEP w37 perfect"			
w37_r17_c02				all		20190913_B	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	Screening was unsucessful on this chip because the chip took more I_bias to bias the SQUID than was applied by the screening software. Maybe an on chip resistor issue?		
w37_r17_c03	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r17_c04	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r17_c05	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r17_c06	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r17_c07	x					20190913_B	B08 gel-pak "BICEP w37 perfect"			
